ticket_id,created_at,resolved_at,priority,category,agent,team,status,location,satisfaction_score,sla_target_hours,resolution_time_hours,SLA_breached
INC-100787,2025-07-17 18:00:00,2025-07-18 23:29:27.087792668,Critical,Software,Sofia Lang,Applications,Closed,Cologne,2.6,8,29.49,True
INC-100147,2025-07-18 07:00:00,,High,Hardware,Marco Klein,Service Desk,Open,Remote,,24,,True
INC-100663,2025-07-18 10:00:00,2025-07-19 05:49:32.520649967,High,Access Request,Marco Klein,Service Desk,Resolved,Berlin,4.0,24,19.83,False
INC-100970,2025-07-18 15:00:00,2025-07-20 06:20:17.999454997,Low,Vpn,Nina Falk,Infrastructure,Resolved,Cologne,4.1,72,39.34,False
INC-100844,2025-07-18 16:00:00,2025-07-21 11:22:26.232894714,Medium,Onboarding,Priya Sharma,Service Desk,Resolved,Remote,3.1,48,67.37,True
INC-100117,2025-07-18 22:00:00,,Low,Email,Emre Kaya,Applications,In Progress,Berlin,,72,,True
INC-100328,2025-07-18 23:00:00,2025-07-19 02:24:11.587339835,High,Software,Olivia Reed,Network,Closed,Munich,3.9,24,3.4,False
INC-100870,2025-07-19 15:00:00,2025-07-20 19:53:58.120266397,Medium,Software,Alice Brown,Service Desk,Resolved,Berlin,3.1,48,28.9,False
INC-101099,2025-07-19 21:00:00,2025-07-21 02:03:45.868420549,Medium,Network,Tim Bauer,Network,Resolved,Munich,4.4,48,29.06,False
INC-100250,2025-07-19 23:00:00,2025-07-21 13:15:27.350273161,Medium,Software,Kevin Zhang,Network,Resolved,Berlin,4.9,48,38.26,False
INC-101019,2025-07-19 23:00:00,2025-07-22 08:09:16.454579933,Low,Software,Kevin Zhang,Network,Resolved,Remote,4.4,72,57.15,False
INC-100902,2025-07-20 03:00:00,2025-07-20 07:22:36.324800604,High,Network,Olivia Reed,Network,Resolved,Hamburg,3.8,24,4.38,False
INC-100817,2025-07-20 08:00:00,2025-07-21 11:04:25.154262175,Medium,Hardware,Sofia Lang,Applications,Resolved,Frankfurt,4.1,48,27.07,False
INC-100562,2025-07-20 10:00:00,2025-07-22 02:23:11.885218452,Medium,Access Request,Sofia Lang,Applications,Resolved,Berlin,4.4,48,40.39,False
INC-100056,2025-07-20 12:00:00,2025-07-25 06:26:23.221427172,Medium,Vpn,Nina Falk,Infrastructure,Resolved,Frankfurt,4.3,48,114.44,True
INC-100811,2025-07-20 14:00:00,2025-07-21 00:55:18.536109305,Medium,Onboarding,Noah Fischer,Security,Resolved,Berlin,4.8,48,10.92,False
INC-101110,2025-07-20 17:00:00,2025-07-22 17:25:26.498786724,Medium,Network,Priya Sharma,Service Desk,Resolved,Frankfurt,3.5,48,48.42,True
INC-100397,2025-07-20 17:00:00,2025-07-22 05:05:48.494627461,Low,Access Request,Sofia Lang,Applications,Resolved,Frankfurt,3.7,72,36.1,False
INC-100352,2025-07-20 18:00:00,2025-07-21 13:07:10.611564307,Low,Access Request,Marco Klein,Service Desk,Closed,Hamburg,3.5,72,19.12,False
INC-100574,2025-07-21 19:00:00,2025-07-23 09:11:32.016306388,Medium,Hardware,Marta Novak,Security,Resolved,Remote,3.9,48,38.19,False
INC-100699,2025-07-22 00:00:00,,Low,Security Incident,Noah Fischer,Security,In Progress,Frankfurt,,72,,True
INC-100848,2025-07-22 09:00:00,,High,Security Incident,Nina Falk,Infrastructure,Open,Remote,,24,,True
INC-100584,2025-07-22 11:00:00,2025-07-23 12:48:16.053805559,High,Access Request,Marco Klein,Service Desk,Closed,Munich,3.8,24,25.8,True
INC-100887,2025-07-22 17:00:00,,Critical,Hardware,Kevin Zhang,Network,Open,Hamburg,,8,,True
INC-100546,2025-07-22 19:00:00,2025-07-25 11:28:41.167201314,Medium,Access Request,Marco Klein,Service Desk,Resolved,Munich,4.1,48,64.48,True
INC-100898,2025-07-23 01:00:00,2025-07-24 22:25:07.593310418,Medium,Access Request,Emre Kaya,Applications,Closed,Frankfurt,5.0,48,45.42,False
INC-100542,2025-07-23 07:00:00,2025-07-25 05:57:05.366006674,Medium,Access Request,Noah Fischer,Security,Resolved,Frankfurt,4.3,48,46.95,False
INC-101026,2025-07-23 08:00:00,2025-07-23 14:42:59.946383057,Critical,Email,Noah Fischer,Security,Resolved,Berlin,2.9,8,6.72,False
INC-101021,2025-07-23 10:00:00,2025-07-24 03:30:11.422173657,Low,Hardware,Priya Sharma,Service Desk,Resolved,Munich,3.1,72,17.5,False
INC-100858,2025-07-23 17:00:00,2025-07-23 20:42:17.380258303,Medium,Network,Nina Falk,Infrastructure,Resolved,Berlin,3.6,48,3.7,False
INC-101136,2025-07-23 22:00:00,,Low,Software,Marta Novak,Security,Open,Berlin,,72,,True
INC-100150,2025-07-23 23:00:00,,Low,Onboarding,Olivia Reed,Network,Open,Hamburg,,72,,True
INC-100619,2025-07-24 16:00:00,2025-07-26 07:43:55.374220285,Medium,Access Request,Emre Kaya,Applications,Resolved,Cologne,5.0,48,39.73,False
INC-100036,2025-07-25 07:00:00,2025-07-26 22:41:31.606083412,High,Access Request,Priya Sharma,Service Desk,Resolved,Berlin,3.0,24,39.69,True
INC-100279,2025-07-25 14:00:00,,Medium,Software,Emre Kaya,Applications,Open,Cologne,,48,,True
INC-101035,2025-07-25 23:00:00,2025-07-26 20:48:48.106213909,Low,Email,Kevin Zhang,Network,Closed,Frankfurt,5.0,72,21.81,False
INC-100518,2025-07-25 23:00:00,2025-07-29 22:00:18.818478985,Low,Email,Marta Novak,Security,Closed,Remote,4.0,72,95.01,True
INC-100387,2025-07-26 05:00:00,2025-07-28 06:54:57.514119079,Medium,Security Incident,Nina Falk,Infrastructure,Resolved,Remote,3.2,48,49.92,True
INC-100045,2025-07-26 07:00:00,2025-07-27 04:06:46.705329282,High,Hardware,Sofia Lang,Applications,Closed,Remote,3.4,24,21.11,False
INC-100899,2025-07-26 20:00:00,,Low,Software,Nina Falk,Infrastructure,Open,Munich,,72,,True
INC-101022,2025-07-27 07:00:00,2025-07-28 11:43:37.233715496,Low,Email,David Ross,Infrastructure,Closed,Frankfurt,4.4,72,28.73,False
INC-100659,2025-07-27 09:00:00,2025-07-27 23:36:24.626167744,High,Hardware,Jonas Weber,Infrastructure,Resolved,Remote,4.2,24,14.61,False
INC-100069,2025-07-28 07:00:00,,High,Network,Alice Brown,Service Desk,Open,Frankfurt,,24,,True
INC-101055,2025-07-28 09:00:00,2025-07-29 08:47:35.683470361,High,Email,Olivia Reed,Network,Closed,Cologne,4.4,24,23.79,False
INC-101027,2025-07-28 15:00:00,2025-07-28 21:24:03.833324267,Medium,Software,Jonas Weber,Infrastructure,Resolved,Berlin,3.8,48,6.4,False
INC-100217,2025-07-29 00:00:00,2025-07-30 03:53:26.086869309,Medium,Hardware,Kevin Zhang,Network,Resolved,Hamburg,4.1,48,27.89,False
INC-100127,2025-07-29 00:00:00,2025-07-30 00:07:46.523400827,Medium,Software,Priya Sharma,Service Desk,Resolved,Munich,3.9,48,24.13,False
INC-101096,2025-07-29 05:00:00,2025-07-29 20:24:15.493624478,Medium,Access Request,David Ross,Infrastructure,Closed,Berlin,3.7,48,15.4,False
INC-100439,2025-07-29 09:00:00,2025-07-29 18:16:51.612189805,Low,Software,Jonas Weber,Infrastructure,Resolved,Hamburg,3.8,72,9.28,False
INC-100280,2025-07-29 20:00:00,,Low,Access Request,Sofia Lang,Applications,Pending,Munich,,72,,True
INC-101122,2025-07-30 04:00:00,2025-07-30 07:46:39.789064290,High,Access Request,Lina Schmitt,Service Desk,Closed,Hamburg,4.3,24,3.78,False
INC-100431,2025-07-30 06:00:00,2025-07-30 22:30:40.885110478,Medium,Software,Emre Kaya,Applications,Resolved,Cologne,4.2,48,16.51,False
INC-100246,2025-07-30 06:00:00,2025-07-30 14:00:05.272523792,Medium,Access Request,Kevin Zhang,Network,Resolved,Munich,4.1,48,8.0,False
INC-100678,2025-07-30 06:00:00,2025-08-01 22:43:40.791770397,Medium,Hardware,Alice Brown,Service Desk,Closed,Munich,4.7,48,64.73,True
INC-100881,2025-07-30 15:00:00,2025-07-31 14:30:53.077549223,High,Security Incident,Jonas Weber,Infrastructure,Resolved,Remote,2.6,24,23.51,False
INC-100007,2025-07-30 15:00:00,2025-07-31 01:44:32.810721998,Medium,Access Request,Kevin Zhang,Network,Resolved,Munich,3.5,48,10.74,False
INC-100753,2025-07-30 16:00:00,2025-08-02 04:46:48.250836241,Medium,Network,Lina Schmitt,Service Desk,Resolved,Munich,4.3,48,60.78,True
INC-100196,2025-07-31 00:00:00,2025-07-31 16:16:45.912519405,Medium,Email,Jonas Weber,Infrastructure,Resolved,Frankfurt,4.0,48,16.28,False
INC-100728,2025-07-31 01:00:00,2025-08-01 01:55:26.674381737,Low,Onboarding,Emre Kaya,Applications,Resolved,Berlin,4.8,72,24.92,False
INC-100001,2025-07-31 10:00:00,2025-08-01 16:23:57.329570483,High,Network,Nina Falk,Infrastructure,Resolved,Cologne,2.8,24,30.4,True
INC-100172,2025-07-31 14:00:00,2025-08-02 05:17:04.907529079,Medium,Vpn,Emre Kaya,Applications,Resolved,Berlin,3.3,48,39.28,False
INC-100695,2025-07-31 15:00:00,2025-08-01 12:46:19.923418733,High,Onboarding,David Ross,Infrastructure,Closed,Remote,4.1,24,21.77,False
INC-100826,2025-07-31 16:00:00,2025-08-03 11:07:44.354992901,Medium,Software,Jonas Weber,Infrastructure,Closed,Berlin,3.5,48,67.13,True
INC-100133,2025-07-31 17:00:00,2025-08-04 00:31:25.442451193,Low,Security Incident,Priya Sharma,Service Desk,Resolved,Frankfurt,4.8,72,79.52,True
INC-100359,2025-07-31 19:00:00,2025-08-01 06:11:58.947915530,Medium,Software,Nina Falk,Infrastructure,Resolved,Munich,3.0,48,11.2,False
INC-100910,2025-08-01 00:00:00,,High,Network,Marta Novak,Security,Open,Cologne,,24,,True
INC-100033,2025-08-01 02:00:00,2025-08-02 06:05:36.016475508,Medium,Software,Marco Klein,Service Desk,Closed,Cologne,3.1,48,28.09,False
INC-100581,2025-08-01 09:00:00,2025-08-02 05:47:50.759840581,High,Onboarding,Marta Novak,Security,Resolved,Hamburg,3.6,24,20.8,False
INC-100951,2025-08-01 10:00:00,2025-08-03 17:45:42.362980362,Medium,Hardware,Marco Klein,Service Desk,Closed,Remote,3.7,48,55.76,True
INC-100010,2025-08-01 14:00:00,2025-08-03 03:48:13.866997371,High,Access Request,David Ross,Infrastructure,Resolved,Remote,3.1,24,37.8,True
INC-100376,2025-08-01 16:00:00,2025-08-02 16:27:28.519186138,Medium,Network,Chris Miller,Applications,Resolved,Berlin,5.0,48,24.46,False
INC-100243,2025-08-01 17:00:00,,High,Network,Jonas Weber,Infrastructure,In Progress,Remote,,24,,True
INC-100700,2025-08-01 19:00:00,,Medium,Software,David Ross,Infrastructure,Open,Berlin,,48,,True
INC-100674,2025-08-01 19:00:00,2025-08-02 22:02:23.506418471,Medium,Network,Chris Miller,Applications,Closed,Berlin,4.3,48,27.04,False
INC-100977,2025-08-01 20:00:00,2025-08-02 21:12:41.358136976,Low,Network,Marta Novak,Security,Resolved,Munich,4.3,72,25.21,False
INC-100791,2025-08-01 23:00:00,2025-08-03 19:08:36.492478834,Low,Email,Tim Bauer,Network,Resolved,Remote,4.6,72,44.14,False
INC-100218,2025-08-02 03:00:00,2025-08-03 16:03:18.650033785,Low,Access Request,Nina Falk,Infrastructure,Resolved,Remote,4.9,72,37.06,False
INC-100087,2025-08-02 08:00:00,,Low,Access Request,David Ross,Infrastructure,In Progress,Remote,,72,,True
INC-100588,2025-08-02 18:00:00,2025-08-03 22:56:38.420679219,Medium,Access Request,Tim Bauer,Network,Closed,Munich,4.0,48,28.94,False
INC-100891,2025-08-02 23:00:00,2025-08-05 09:34:16.816430563,Low,Vpn,Priya Sharma,Service Desk,Resolved,Cologne,4.9,72,58.57,False
INC-100580,2025-08-03 09:00:00,2025-08-06 18:59:04.182144089,Low,Email,Lina Schmitt,Service Desk,Closed,Cologne,4.0,72,81.98,True
INC-100258,2025-08-03 19:00:00,2025-08-04 13:39:13.979675419,Medium,Software,Olivia Reed,Network,Closed,Remote,3.7,48,18.65,False
INC-101166,2025-08-04 04:00:00,,Low,Network,Lina Schmitt,Service Desk,Pending,Cologne,,72,,True
INC-100516,2025-08-04 06:00:00,2025-08-04 17:32:50.461451593,High,Hardware,Marco Klein,Service Desk,Resolved,Frankfurt,3.4,24,11.55,False
INC-100460,2025-08-04 09:00:00,2025-08-04 13:17:38.496023060,High,Software,Chris Miller,Applications,Resolved,Munich,4.0,24,4.29,False
INC-100171,2025-08-04 11:00:00,2025-08-04 21:54:44.607018478,Critical,Software,Marco Klein,Service Desk,Resolved,Berlin,2.1,8,10.91,True
INC-100818,2025-08-04 12:00:00,2025-08-06 04:39:31.074918212,Medium,Onboarding,Sofia Lang,Applications,Resolved,Cologne,3.7,48,40.66,False
INC-100583,2025-08-04 14:00:00,,Medium,Access Request,Marco Klein,Service Desk,In Progress,Remote,,48,,True
INC-100322,2025-08-04 20:00:00,2025-08-07 09:32:52.281903258,Medium,Access Request,Tim Bauer,Network,Resolved,Berlin,4.2,48,61.55,True
INC-100310,2025-08-05 01:00:00,2025-08-08 23:47:03.440167647,Low,Hardware,Marco Klein,Service Desk,Resolved,Frankfurt,4.6,72,94.78,True
INC-100480,2025-08-05 04:00:00,,Medium,Network,Priya Sharma,Service Desk,In Progress,Munich,,48,,True
INC-100808,2025-08-05 12:00:00,2025-08-06 08:41:08.187609727,Medium,Hardware,Lina Schmitt,Service Desk,Closed,Munich,3.4,48,20.69,False
INC-100501,2025-08-06 07:00:00,,Medium,Vpn,Marco Klein,Service Desk,Pending,Remote,,48,,True
INC-100873,2025-08-06 07:00:00,2025-08-06 15:54:40.865031812,Low,Software,Alice Brown,Service Desk,Resolved,Frankfurt,4.8,72,8.91,False
INC-100120,2025-08-06 11:00:00,2025-08-07 08:16:21.179085487,Medium,Vpn,Kevin Zhang,Network,Resolved,Frankfurt,4.1,48,21.27,False
INC-100538,2025-08-06 17:00:00,2025-08-08 15:22:36.922597352,Medium,Software,Nina Falk,Infrastructure,Resolved,Hamburg,4.3,48,46.38,False
INC-101020,2025-08-06 19:00:00,2025-08-07 07:05:41.651003603,High,Onboarding,Alice Brown,Service Desk,Resolved,Cologne,4.2,24,12.09,False
INC-100365,2025-08-06 20:00:00,2025-08-07 09:40:41.541894237,Medium,Onboarding,Kevin Zhang,Network,Resolved,Hamburg,4.7,48,13.68,False
INC-100726,2025-08-07 02:00:00,2025-08-07 21:43:07.171715452,High,Access Request,Kevin Zhang,Network,Resolved,Munich,2.7,24,19.72,False
INC-100198,2025-08-07 07:00:00,2025-08-08 20:11:21.729844190,Low,Software,Lina Schmitt,Service Desk,Closed,Hamburg,4.7,72,37.19,False
INC-100778,2025-08-07 10:00:00,2025-08-10 03:05:55.442477757,Low,Onboarding,Tim Bauer,Network,Resolved,Munich,4.3,72,65.1,False
INC-100497,2025-08-07 12:00:00,2025-08-08 21:07:58.663169058,High,Email,Lina Schmitt,Service Desk,Resolved,Berlin,3.0,24,33.13,True
INC-100313,2025-08-07 12:00:00,,Medium,Hardware,Kevin Zhang,Network,In Progress,Remote,,48,,True
INC-100946,2025-08-07 14:00:00,,High,Security Incident,Jonas Weber,Infrastructure,Open,Frankfurt,,24,,True
INC-101050,2025-08-07 17:00:00,,High,Software,Marta Novak,Security,Open,Remote,,24,,True
INC-100724,2025-08-07 17:00:00,,Medium,Network,Marta Novak,Security,In Progress,Munich,,48,,True
INC-101157,2025-08-07 20:00:00,2025-08-08 09:30:06.838602911,High,Access Request,Priya Sharma,Service Desk,Closed,Remote,2.7,24,13.5,False
INC-100863,2025-08-07 20:00:00,2025-08-08 16:18:34.513263125,Medium,Software,Lina Schmitt,Service Desk,Resolved,Berlin,5.0,48,20.31,False
INC-100418,2025-08-08 05:00:00,2025-08-08 22:50:26.647822105,High,Onboarding,Kevin Zhang,Network,Resolved,Berlin,4.7,24,17.84,False
INC-100784,2025-08-08 06:00:00,2025-08-10 11:59:37.487904412,Low,Hardware,Tim Bauer,Network,Resolved,Cologne,5.0,72,53.99,False
INC-100783,2025-08-08 10:00:00,2025-08-08 21:26:39.526570921,Critical,Access Request,Jonas Weber,Infrastructure,Resolved,Remote,3.3,8,11.44,True
INC-100386,2025-08-08 11:00:00,,Medium,Hardware,Olivia Reed,Network,Open,Cologne,,48,,True
INC-100436,2025-08-08 16:00:00,2025-08-10 14:33:58.169488241,Medium,Onboarding,Sofia Lang,Applications,Resolved,Berlin,4.3,48,46.57,False
INC-100874,2025-08-08 23:00:00,2025-08-09 15:16:42.645402611,Low,Software,Jonas Weber,Infrastructure,Resolved,Berlin,5.0,72,16.28,False
INC-100157,2025-08-09 07:00:00,,Low,Network,Lina Schmitt,Service Desk,Pending,Munich,,72,,True
INC-100221,2025-08-09 14:00:00,2025-08-10 11:36:09.188508927,Medium,Email,Alice Brown,Service Desk,Resolved,Hamburg,4.5,48,21.6,False
INC-100759,2025-08-09 16:00:00,2025-08-10 13:24:24.506612213,High,Software,Sofia Lang,Applications,Resolved,Berlin,4.7,24,21.41,False
INC-100018,2025-08-09 17:00:00,2025-08-10 19:55:17.107828595,Low,Software,Jonas Weber,Infrastructure,Resolved,Remote,4.7,72,26.92,False
INC-101005,2025-08-09 18:00:00,2025-08-11 00:56:27.658666740,Medium,Access Request,Priya Sharma,Service Desk,Resolved,Berlin,4.4,48,30.94,False
INC-100705,2025-08-10 00:00:00,2025-08-14 03:17:39.226278547,Low,Hardware,Marta Novak,Security,Closed,Hamburg,3.4,72,99.29,True
INC-100945,2025-08-10 00:00:00,2025-08-12 02:58:14.534371202,Low,Software,Nina Falk,Infrastructure,Resolved,Munich,5.0,72,50.97,False
INC-100074,2025-08-10 04:00:00,,High,Vpn,Sofia Lang,Applications,In Progress,Berlin,,24,,True
INC-100434,2025-08-10 10:00:00,2025-08-13 08:44:24.525984009,Low,Vpn,Kevin Zhang,Network,Resolved,Cologne,5.0,72,70.74,False
INC-100414,2025-08-10 15:00:00,2025-08-11 09:02:38.222147295,Low,Software,Kevin Zhang,Network,Resolved,Cologne,3.7,72,18.04,False
INC-100670,2025-08-10 16:00:00,2025-08-13 10:40:54.276090413,Medium,Software,Nina Falk,Infrastructure,Closed,Berlin,4.4,48,66.68,True
INC-100443,2025-08-10 17:00:00,2025-08-14 03:24:44.522747388,Low,Software,Chris Miller,Applications,Resolved,Munich,4.3,72,82.41,True
INC-100948,2025-08-11 04:00:00,2025-08-12 04:29:38.748602278,Low,Hardware,Noah Fischer,Security,Resolved,Cologne,4.6,72,24.49,False
INC-100604,2025-08-11 07:00:00,2025-08-13 12:53:43.153241353,Low,Onboarding,Emre Kaya,Applications,Resolved,Berlin,5.0,72,53.9,False
INC-100823,2025-08-11 18:00:00,,Medium,Hardware,David Ross,Infrastructure,In Progress,Frankfurt,,48,,True
INC-100682,2025-08-11 23:00:00,2025-08-14 08:23:32.250449521,Low,Hardware,David Ross,Infrastructure,Closed,Berlin,4.3,72,57.39,False
INC-100721,2025-08-12 09:00:00,2025-08-13 18:15:41.896228643,Medium,Hardware,Jonas Weber,Infrastructure,Resolved,Berlin,3.8,48,33.26,False
INC-100100,2025-08-12 12:00:00,2025-08-14 00:17:39.141474729,Low,Access Request,Marco Klein,Service Desk,Closed,Munich,2.8,72,36.29,False
INC-100620,2025-08-12 13:00:00,2025-08-14 10:27:08.429723224,Critical,Vpn,Marco Klein,Service Desk,Resolved,Remote,4.4,8,45.45,True
INC-100118,2025-08-12 13:00:00,,Medium,Email,Priya Sharma,Service Desk,Open,Berlin,,48,,True
INC-100769,2025-08-12 13:00:00,2025-08-13 01:21:20.560081224,Medium,Email,Priya Sharma,Service Desk,Resolved,Munich,5.0,48,12.36,False
INC-100306,2025-08-12 15:00:00,2025-08-14 15:36:50.242677516,Low,Email,Chris Miller,Applications,Resolved,Hamburg,4.4,72,48.61,False
INC-100241,2025-08-12 15:00:00,2025-08-13 01:17:00.082745298,High,Hardware,Priya Sharma,Service Desk,Resolved,Hamburg,3.5,24,10.28,False
INC-100462,2025-08-12 16:00:00,,High,Vpn,Emre Kaya,Applications,In Progress,Berlin,,24,,True
INC-100329,2025-08-12 21:00:00,2025-08-13 04:51:42.060692599,Medium,Access Request,Emre Kaya,Applications,Resolved,Remote,4.6,48,7.86,False
INC-101090,2025-08-12 23:00:00,2025-08-18 14:28:13.388755799,Low,Access Request,David Ross,Infrastructure,Closed,Remote,4.3,72,135.47,True
INC-101187,2025-08-13 04:00:00,2025-08-13 22:42:18.793457200,Low,Access Request,Alice Brown,Service Desk,Resolved,Berlin,3.6,72,18.71,False
INC-100834,2025-08-13 07:00:00,2025-08-15 19:30:40.593018335,Medium,Network,Marco Klein,Service Desk,Resolved,Munich,4.6,48,60.51,True
INC-100528,2025-08-13 12:00:00,2025-08-25 22:45:04.615708075,Low,Hardware,Sofia Lang,Applications,Resolved,Remote,4.8,72,298.75,True
INC-100408,2025-08-13 12:00:00,2025-08-15 06:31:23.174047846,Medium,Software,Marco Klein,Service Desk,Resolved,Remote,3.9,48,42.52,False
INC-101063,2025-08-13 13:00:00,2025-08-17 07:12:29.934280059,Low,Software,Marta Novak,Security,Resolved,Cologne,4.1,72,90.21,True
INC-100256,2025-08-13 16:00:00,2025-08-14 08:10:43.424895853,High,Software,Jonas Weber,Infrastructure,Resolved,Berlin,3.6,24,16.18,False
INC-100924,2025-08-13 19:00:00,2025-08-14 05:03:49.453574299,High,Software,Marta Novak,Security,Resolved,Berlin,3.3,24,10.06,False
INC-100522,2025-08-14 01:00:00,2025-08-15 20:32:15.519609261,High,Access Request,Alice Brown,Service Desk,Resolved,Berlin,3.5,24,43.54,True
INC-100752,2025-08-14 11:00:00,2025-08-15 22:59:30.280938381,Medium,Software,Marta Novak,Security,Closed,Cologne,3.6,48,35.99,False
INC-100975,2025-08-14 12:00:00,2025-08-14 17:11:01.033113547,Low,Email,Alice Brown,Service Desk,Resolved,Munich,4.3,72,5.18,False
INC-100457,2025-08-14 13:00:00,,Critical,Onboarding,Olivia Reed,Network,In Progress,Frankfurt,,8,,True
INC-100938,2025-08-14 15:00:00,2025-08-14 19:29:10.732575708,Medium,Network,Marta Novak,Security,Resolved,Munich,3.7,48,4.49,False
INC-101104,2025-08-15 03:00:00,2025-08-15 23:11:45.554114229,Medium,Vpn,Chris Miller,Applications,Resolved,Remote,3.9,48,20.2,False
INC-100357,2025-08-15 08:00:00,,Medium,Access Request,Marta Novak,Security,Open,Berlin,,48,,True
